Datum;Beschreibung;Typ;Total;Zürich_Ja;Zürich_Nein;Ticino_Ja;Ticino_Nein;Französische_Schweiz;Alpen_und_Voralpen;Westmittelland;Ostmittelland;Italienische_Schweiz;Alter_15-29;Alter_30-59;Alter_60++;Alter_15-64;Alter_65++;Männlich;Weiblich;Städtisch;Ländlich;D-CH;W-CH;I-CH
29.02.2020;Radius;Mean;16866.5;17990.2;16590.7;14228.6;16984;17345;15831.6;17066.4;17387.8;14228.6;20891.6;16584.6;12880.3;17569.1;11099.6;16367.9;17463.7;16576.1;17254.8;16862.1;17345;14228.6
29.02.2020;Distanz;Median;20270.4;22635.2;19940.3;17669.2;20463.4;20618.4;18142.2;20020;22565.8;17669.2;29049.1;20061.3;13101.2;21522.7;10343.1;21258.4;18723.2;16997.9;24637.3;20423;20618.4;17669.2
29.02.2020;Radius;Median;6193;6957.3;6028.4;5180.5;6244.5;6497;5260.6;6136.6;6902.4;5180.5;9409.5;6078.8;4200.3;6590.9;3154;6254.2;6107.9;5248.3;8203;6192.1;6497;5180.5
01.03.2020;Distanz;Mean;46517.4;41091.2;47855;35656.2;47005.7;34974.2;65869.3;39342.4;50202.8;35656.2;62946.3;41039.9;45226;48711;28318.3;51385.2;40601;47623.9;45027.3;51097.6;34974.2;35656.2
01.03.2020;Radius;Mean;17244.9;20362.5;16476.4;17463.5;17235.1;15871.2;14597.2;18212.5;19386;17463.5;23739.6;16543.2;11447.2;17880.7;11970;18650.2;15536.8;17742.9;16574.3;17698.9;15871.2;17463.5
01.03.2020;Distanz;Median;12474.5;14817.8;11799;12267;12474.5;10161.8;12900.7;12604;14360.2;12267;22169.4;11693.2;7715.5;13359;7621.3;13193.7;11693.2;11184.2;14831.7;13193.7;10161.8;12267
01.03.2020;Radius;Median;4001.8;4472.5;3883.3;3743.5;4070.3;3598.3;3968.9;4301;4465.2;3743.5;7541.4;3795.2;2144.7;4367;2113.5;4355.2;3664.3;3439.6;4791.7;4295.4;3598.3;3743.5
02.03.2020;Distanz;Mean;43634.3;37941.8;45038.2;36444.5;43971.4;40725.9;37143.3;56370.1;42024.5;36444.5;40751.5;47166.6;34334.6;45057.1;31588.6;51624.1;34021.5;42936.4;44599.8;45090.2;40725.9;36444.5
02.03.2020;Radius;Mean;15561.2;15437.9;15591.6;14967.3;15589.1;15908.6;13305.9;15700.6;16764.1;14967.3;15805.1;16069;13402.3;15902.5;12672;17431.1;13311.6;14825.8;16578.6;15478.9;15908.6;14967.3
02.03.2020;Distanz;Median;22824.5;21985.2;23166;17000.2;23221.7;21403.9;20709.3;21754.8;27478.3;17000.2;25617.1;24394.8;14039.7;24365.5;11855.4;25830.7;19067.1;17953.1;30355.4;23607.7;21403.9;17000.2
02.03.2020;Radius;Median;7109.5;7877.7;6944;4772.2;7273.2;6590.3;6161.1;6756.9;9299.5;4772.2;8315.5;7934.3;4239.6;7795;3331.9;8336.1;6098.2;5249.1;10036.8;7560.1;6590.3;4772.2
03.03.2020;Distanz;Mean;45136.6;43077.2;45643.9;26578.2;45992.4;41654;41439.9;44425.5;53798.2;26578.2;41793.9;46741.3;43405.7;46648.9;32741.2;46210.7;43843.3;43688.8;47109.6;47490.9;41654;26578.2
03.03.2020;Radius;Mean;15260.2;14095.6;15547.1;8857;15555.6;15134.7;14928.8;16583.1;15553.1;8857;15260.1;15606;14037.1;15610.7;12387.9;16661.3;13573.3;13982.4;17001.7;15700.9;15134.7;8857
03.03.2020;Distanz;Median;23149.8;23178.5;23149.8;16094.4;23667.9;23213.1;22162.5;22021.4;25469.5;16094.4;27196.5;24024.3;17571.1;24367.2;15038.3;27538.1;19190.2;17804.2;31898.3;23864.5;23213.1;16094.4
03.03.2020;Radius;Median;7475.5;7393.3;7479.9;4446.4;7790.8;7167.7;7118.3;7519;8676.9;4446.4;8515.1;7938;5637.9;8102.4;4800.6;8562.4;6150.4;5464.1;10780;7884.4;7167.7;4446.4
04.03.2020;Distanz;Mean;44228.8;38893.5;45557.1;31364.3;44836.7;45776.7;47947.4;45346.5;41652.6;31364.3;44609.1;44896.5;41339.5;44532.7;41689.4;49339.8;38021.1;40461.9;49459.9;44511.3;45776.7;31364.3
04.03.2020;Radius;Mean;16364.6;14122.4;16922.8;11129.6;16611.9;16871;17771.2;16902.6;15424.9;11129.6;16754;16541.4;15247.1;16527.1;15006.8;17921.3;14473.8;14965.5;18307.5;16522.2;16871;11129.6
04.03.2020;Distanz;Median;24610.7;24353.5;24782.4;18261.4;25081.1;25877.1;24957.1;22736.8;26783.1;18261.4;25535.4;26688.9;17566.5;25877.1;15135.6;28658.5;21707;19478;32732.3;24579.3;25877.1;18261.4
04.03.2020;Radius;Median;7932.3;8206.9;7803.8;5376.7;8098.3;7931.2;8128.8;7087.9;8780.6;5376.7;8299.3;8514.2;5757.2;8303.4;4723;9124.4;6608.1;5680.1;10727.2;8110.8;7931.2;5376.7
05.03.2020;Distanz;Mean;49413.1;39273.9;51923.2;39268.6;49894.9;44446.8;60143.3;55877.9;43109.6;39268.6;57230.1;49449.4;39517;50835.9;37541.8;53675.5;44196;43471.1;57448.2;51755.5;44446.8;39268.6
05.03.2020;Radius;Mean;16383;15179.4;16680.9;16778.4;16364.2;16526.7;15968.2;16236.5;16586.6;16778.4;17200.4;16348;15490.5;16729.4;13492.6;17571.9;14927.7;15053.4;18180.9;16308.7;16526.7;16778.4
05.03.2020;Distanz;Median;23841.6;23703.5;23931.8;17624.9;24142.4;23202.5;23268.6;22404.9;26356.5;17624.9;26987.1;25425.7;16327.6;25323.7;13566.3;26356.5;20842.8;18367.3;32457.2;24328.3;23202.5;17624.9
05.03.2020;Radius;Median;7539.8;8227.3;7448.6;4968.6;7877.4;6774.4;7045.7;7238.4;9350.3;4968.6;8951.6;8065.2;5056.8;8272.8;3749.5;8408.2;6707.1;5402.3;10677.7;8090.5;6774.4;4968.6
06.03.2020;Distanz;Mean;50652;40505.5;53143.3;38288.5;51264.6;53111.1;69946.2;46196.1;41539.8;38288.5;64429.5;48115.9;42689.8;51488.2;43746.5;54171.5;46326.8;47323.7;55221.1;50625.1;53111.1;38288.5
06.03.2020;Radius;Mean;18138.6;16353.8;18576.8;17021.8;18193.9;19350;17904;19103.2;16722.4;17021.8;22321.2;17565;15030.3;18612.2;14226.9;19122.7;16929.1;17182.7;19450.7;17793.5;19350;17021.8
06.03.2020;Distanz;Median;24900;22492.4;25457.1;17952;25480.4;29467.1;25015;23114.3;24525.2;17952;32171.1;25545.7;15750.5;26805.1;14394.5;26752.4;23046.7;19963;32409.8;24329.3;29467.1;17952
06.03.2020;Radius;Median;8151.5;7885.4;8262.7;5147.4;8406.9;9121.5;8038.5;7693.6;8486.5;5147.4;11015.5;8180.5;5086.3;8573.8;4631.3;8548.1;7601.2;5888.6;10546;8092.3;9121.5;5147.4
07.03.2020;Distanz;Mean;44237;55456.3;41426.7;40151;44437.8;42036.3;42339.2;40060.3;51117.3;39816.7;63586.3;41103.3;31688.5;46147.1;28688.2;40756.8;48446.5;43238.4;45598.9;45260.5;42036.3;39816.7
07.03.2020;Radius;Mean;16339.2;15012.6;16671.5;13486.1;16479.4;16940.9;16776.3;16841.8;15664.1;13373.7;19536.6;16088;13315.6;16847.9;12198.4;16105.8;16621.5;15228.6;17853.8;16335;16940.9;13373.7
07.03.2020;Distanz;Median;20087.3;18511.3;20662.1;20349.4;20047.8;21039.3;20900.9;18551.8;19491.6;20285.4;26404.9;20842;12767;21673.2;10376.7;20094.8;20051.7;15726.6;26598.6;19491.6;21039.3;20285.4
07.03.2020;Radius;Median;6069.1;5369.9;6202.9;5637;6136.6;5979.2;5992.3;6257.1;6217.3;5574.8;8580;6322.4;3974.9;6648;3173.5;5976.5;6294.6;4653.8;8589.1;6206.1;5979.2;5574.8
08.03.2020;Distanz;Mean;40302.6;38376.7;40777.6;41633.5;40234.5;42678.7;39405.1;40123.8;38826.1;41633.5;49770.6;39572.6;31286;41472;31193.2;39789.8;40954.6;37850.7;43625.7;39393.2;42678.7;41633.5
08.03.2020;Radius;Mean;17667.6;16797.6;17882.1;20723.1;17511.3;18704.9;16743.5;17480;17045.4;20723.1;23194.2;16822.6;13864.9;18210.1;13440.9;17288.3;18149.8;16814.4;18823.9;17100.5;18704.9;20723.1
08.03.2020;Distanz;Median;14528.5;12519.9;14776;10836.9;14737.1;15644.8;15322.6;15191;12716.8;10836.9;23514.8;13867.4;10861.3;15222.5;11098.5;14356.1;14882.2;12343.1;18359.1;14441.2;15644.8;10836.9
08.03.2020;Radius;Median;4731.3;4067.7;4793.6;3633.1;4779.9;5229.2;4857.8;4873.3;3978.2;3633.1;7772.3;4411.6;3057.3;4942.8;3103.5;4615.7;4785.5;3723.4;6115.4;4615.2;5229.2;3633.1
09.03.2020;Distanz;Mean;43145.7;51292.7;41116.6;36394;43483.8;39769.3;42882.1;40140.9;49549.5;36110;40451.4;47784.2;29476.2;45426.7;24187.6;43927.9;42180.4;42645.6;43838.9;44753.3;39769.3;36110
